:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
04ECF151-E7E7-426F-BA13-4665481BD23C;533;GATES-K076PK2203;K076PK2203;K076PK2203;GATES-K076PK2203;948FE800-D71B-4CD9-8EE7-000773EF9D44;948FE800-D71B-4CD9-8EE7-000773EF9D44;505140;K076PK2203;GAT;1810-19343
868F16C2-661C-44A5-9377-E579DD703F1D;510;ELRING-515.311;515.311;515.311;ELRING-515.311;AB6D1310-7497-4670-BC82-0007AF338BD7;AB6D1310-7497-4670-BC82-0007AF338BD7;714572;515.311;ELR;1610-1676
FA1AC496-4C74-49D8-B97B-2449BA20E2A4;2141;AJUSA-14043800;14043800;14043800;AJUSA-14043800;11906F54-86B2-4516-A8EE-0007B1BEA6BB;11906F54-86B2-4516-A8EE-0007B1BEA6BB;1033500;14043800;AJU;1610-103364
5AA195A3-4F04-43B1-A2FA-1484396DD2B8;622;QUINTONHAZELL-QBK461;QBK461;QBK461;QUINTONHAZELL-QBK461;09C17143-A461-4FEB-A89C-0007B5749E83;09C17143-A461-4FEB-A89C-0007B5749E83;627744;1820-0458;9QUI;1820-0458
6427EC36-9845-4902-A623-EDEDD5174B53;2141;AJUSA-93013100;93013100;93013100;AJUSA-93013100;3FC17E7D-D3B7-42C2-B9F7-0007E16DC8CD;3FC17E7D-D3B7-42C2-B9F7-0007E16DC8CD;618221;1620-2864;9AJU;1620-2864
BB7FEF37-3FA2-4814-87FF-E9EFD32CDE56;613;HERTHBUSSJAKOPARTS-J5211027;J5211027;J5211027;HERTHBUSSJAKOPARTS-J5211027;16C88362-00A4-41AC-902F-0007F2FF86FE;16C88362-00A4-41AC-902F-0007F2FF86FE;534917;J5211027;JAK;2250-7247
542FA4F0-06B3-45F0-8C8F-83B1DEEAE6F1;3041;PRASCO-RN0274904;RN0274904;RN0274904;PRASCO-RN0274904;F0AF4533-8F05-4E21-B305-0007F9B2FDF4;F0AF4533-8F05-4E21-B305-0007F9B2FDF4;1249333;RN0274904;PRA;1020-100393
F30E8291-CCCC-4FEF-BA82-2C237F871D75;2408;ABS-210892;210892;210892;ABS-210892;12DFDC79-1C00-416F-B390-000819884D78;12DFDC79-1C00-416F-B390-000819884D78;1214484;210892;ABS;1570-112911
D51B7B72-4B25-449D-B8EC-D9B1FB6651E4;797;FEBIBILSTEIN-16201;16201;16201;FEBIBILSTEIN-16201;76E69BC1-6944-4B3C-B5F8-000852BCD57E;76E69BC1-6944-4B3C-B5F8-000852BCD57E;431367;16201;FEB;1410-13525
9FA6F8B1-81CF-4FB3-B3B4-9371337F88E8;1340;AKSDASIS-682290N;682290N;682290N;AKSDASIS-682290N;DB134834-7BB6-4FE1-BB84-00086A990047;DB134834-7BB6-4FE1-BB84-00086A990047;778345;682290N;DAS;1710-11823
