Genart-Nr	Genart-Desc-DE	Genart-Desc-EN	BauGruppe-DE	BauGruppe-EN	ART-Bezeichng-DE	ART-Bezeichng-EN	Verwendungszweck-DE	Verwendungszweck-EN	K24-Bezeichng	IsUniversalGenericArticle	IsDangerousGoods	IsHazardousSubstance	DataSupplier:Link
4532	Demontagewerkzeugsatz, Glühkerze	Disassembly Tool Set, glow plug	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeugsatz	Disassembly Tool Set	Glühkerze	Glow Plug	Werkzeuge sonstiges	0	0	0	Tec Doc
4533	Demontagewerkzeugsatz, Glühkerze	Disassembly Tool Set, glow plug	Werkzeug, Universal	Tool, universal	Demontagewerkzeugsatz	Disassembly Tool Set	Glühkerze	Glow Plug	Handwerkzeuge	1	0	0	Tec Doc
6478	Demontagewerkzeugsatz, Klebegewicht	Disassembly Tool Set, adhesive weight	Spezialwerkzeug, Universal	Special Tools, universal	Demontagewerkzeugsatz	Disassembly Tool Set	Klebegewicht	Adhesive weight	Werkzeuge sonstiges	1	0	0	Tec Doc
8849	Demontagewerkzeugsatz, Zündschloss	Disassembly Tool Set, ignition lock	Werkzeug, fahrzeugspezifisch	Vehicle Specific Tools	Demontagewerkzeugsatz	Disassembly Tool Set	Zündschloss	Ignition Lock	Werkzeuge sonstiges	0	0	0	Tec Doc
12483	Design Scheibenwischer, Splash Caps, Tolles Zeug	Design wiper blade	NULL	NULL	Design Scheibenwischer, Splash Caps, Tolles Zeug	NULL	NULL	NULL	Zubehör sonstiges	1	0	0	DVSE
300203	Designfolie, Aussen	Design film, outside	NULL	NULL	Designfolie, Aussen	NULL	NULL	NULL	Sportliches Zubehör	0	0	0	K24
300201	Designfolie, Innenraum	Design film, interior	NULL	NULL	Designfolie, Innenraum	NULL	NULL	NULL	Sportliches Zubehör	1	0	0	K24
6376	Desinfektionsmittel	Disinfectant	Chemische Produkte	Chemical Products	Desinfektionsmittel	Disinfectant	NULL	NULL	Fahrzeugchemie sonstiges	1	0	0	Tec Doc
4785	Destilliertes Wasser	Distilled Water	Chemische Produkte	Chemical Products	Destilliertes Wasser	Distilled Water	NULL	NULL	Fahrzeugchemie sonstiges	1	0	0	Tec Doc
9746	Diagnosegerät, Abgasnachbehandlung	Diagnosis Unit, exhaust gas after-treatment	Werkstattausrüstung	Workshop Equipment	Diagnosegerät	Diagnosis Unit	Abgasnachbehandlung	Exhaust Gas After-Treatment	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
7931	Diagnosesatz, Tank-Ersatz	Diagnostics Set, tank replacement	Werkstattausrüstung	Workshop Equipment	Diagnosesatz	Diagnostics Set	Tank-Ersatz	Tank Replacement	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
7737	Diagrammblätter, Kompressionsdruckschreiber	Chart Sheets, compression pressure recorder	Spezialwerkzeug, Universal	Special Tools, universal	Diagrammblätter	Chart Sheets	Kompressionsdruckschreiber	Compression Pressure Recorder	Werkzeuge sonstiges	1	0	0	Tec Doc
19480	Dicht/-Klebeband, Autoglas	Gasket/ Adhesive tape, Car glass	NULL	NULL	Dicht/-Klebeband, Autoglas	NULL	NULL	NULL	Kleben & Dichten	1	0	0	DVSE
2259	Dicht-/Schutzstopfen	Sealing-/Protection Plugs	Normteile	Standard Parts	Stopfen	Plug	NULL	NULL	DIN / Normteile sonstiges	1	0	0	Tec Doc
1847	Dichtband	Sealing Tape	Chemische Produkte	Chemical Products	Dichtstoff	Sealant	Dichtband	Sealing Tape	Kleben & Dichten	1	0	0	Tec Doc
6323	Dichtmittel, Reifen-Dichtungs-Set	Sealant, tyre sealant set	Chemische Produkte	Chemical Products	Dichtstoff	Sealant	Reifen-Dichtungs-Set	Tyre Sealant Set	Kleben & Dichten	1	1	1	Tec Doc
9512	Dichtmittelabscheider, Klimaservicegerät	Sealant Separator, air conditioning service unit	Werkstattausrüstung	Workshop Equipment	Dichtmittelabscheider	Sealant Separator	Klimatechnik	Air Conditioning Systems	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
6325	Dichtmittel-Set, Reifen-Dichtungs-Set	Sealant Set, tyre sealant set	Chemische Produkte	Chemical Products	Dichtstoff-Set	Sealant Set	Reifen-Dichtungs-Set	Tyre Sealant Set	Kleben & Dichten	1	1	1	Tec Doc
2048	Dichtring	Seal Ring	Normteile	Standard Parts	Dichtring	Seal Ring	NULL	NULL	Wellendichtringe	1	0	0	Tec Doc
5054	Dichtring	Seal Ring	NULL	NULL	Dichtring	Seal Ring	NULL	NULL	Dichtungen Motor	0	0	0	Tec Doc
3979	Dichtring, Abgaskrümmer	Seal Ring, exhaust manifold	Zylinderkopf	Cylinder Head	Dichtring	Seal Ring	Abgaskrümmer	Exhaust Manifold	Dichtungen Abgas	0	0	0	Tec Doc
204	Dichtring, Abgasrohr	Seal Ring, exhaust pipe	Abgasanlage	Exhaust System	Dichtring	Seal Ring	Abgasrohr	Exhaust Pipe	Dichtungen Abgas	0	0	0	Tec Doc
3016	Dichtring, Achsschenkel	Seal Ring, steering knuckle	Radaufhängung	Wheel Suspension	Dichtring	Seal Ring	Achsschenkel	Steering Knuckle	Fahrwerk sonstiges	0	0	0	Tec Doc
5112	Dichtring, Achsschenkel (Federbock)	Seal Ring, steering knuckle (spring bracket)	Federung/Dämpfung	Suspension/Damping	Dichtring	Seal Ring	Achsschenkel (Federbock)	Steering Knuckle (spring bracket)	Federung sonstiges	0	0	0	Tec Doc
4136	Dichtring, Ansaugschlauch-Luftfiltergehäuse	Seal Ring, air filter housing intake hose	Luftversorgung	Air Supply	Dichtring	Seal Ring	Ansaugschlauch-Luftfiltergehäuse	Air Filter Housing Intake Hose	Gemischaufbereitung sonstiges	0	0	0	Tec Doc
3011	Dichtring, Antriebswellenlagerung	Seal Ring, propshaft mounting	Radantrieb	Final Drive	Dichtring	Seal Ring	Antriebswellenlagerung	Drive Shaft Mounting	Antrieb sonstiges	0	0	0	Tec Doc
8288	Dichtring, Ausgleichswelle	Seal Ring, balance shaft	Kurbelgehäuse	Crankcase	Dichtring	Seal Ring	Ausgleichswelle	Balance Shaft	Dichtungen Motor	0	0	0	Tec Doc
1744	Dichtring, Bremsbacke	Seal Ring, brake shoe	Bremsanlage	Braking System	Dichtring	Seal Ring	Bremsbacken	Brake Shoes	Dichtungen Bremse	0	0	0	Tec Doc
3616	Dichtring, Bremsbackenrolle	Seal Ring, brake shoe pulley	Bremsanlage	Braking System	Dichtring	Seal Ring	Bremsbackenrolle	Brake Shoe Sleeve	Dichtungen Bremse	0	0	0	Tec Doc
3186	Dichtring, Drehstab	Seal Ring, torsion bar	Radaufhängung	Wheel Suspension	Dichtring	Seal Ring	Drehstab	Torsion Bar	Fahrwerk sonstiges	0	0	0	Tec Doc
