EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Elektromotor;5755;PIAGGIO;PORTER Kasten;124;Seilzug, Feststellbremse;Bremsanlage;HK-3601;4355165;NULL;OPT;129
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;5755;PIAGGIO;PORTER Kasten;5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);51;Axialgelenk, Spurstange;Lenkung;4234179;4666596;NULL;KFT;4546
Elektromotor;6238;VW;GOLF III (1H1);51;Axialgelenk, Spurstange;Lenkung;4306352;4666614;NULL;KFT;4546
Elektromotor;6238;VW;GOLF III (1H1);54;Schraube, Bremsscheibe;Bremsanlage;315 18 429 01 11;4666183;NULL;OES;2728
Elektromotor;6238;VW;GOLF III (1H1);55;Verschluss, Bremsflüssigkeitsbehälter;Bremsanlage;07.35.270;4665800;NULL;TRT;209
Elektromotor;6238;VW;GOLF III (1H1);70;Bremsbackensatz;Bremsanlage;V10-6696;4660819;NULL;VAI;162
Elektromotor;6238;VW;GOLF III (1H1);82;Bremsscheibe;Bremsanlage;DI-0935C;4653561;NULL;JPP;156
Elektromotor;6238;VW;GOLF III (1H1);82;Bremsscheibe;Bremsanlage;DI-0938C;4653564;NULL;JPP;156
Elektromotor;6238;VW;GOLF III (1H1);82;Bremsscheibe;Bremsanlage;DI-0939C;4653565;NULL;JPP;156
Elektromotor;6238;VW;GOLF III (1H1);83;Bremsschlauch;Bremsanlage;BSL-130;3761023;NULL;OPT;129
Elektromotor;6238;VW;GOLF III (1H1);83;Bremsschlauch;Bremsanlage;BSL-192;3761030;NULL;OPT;129
Elektromotor;6238;VW;GOLF III (1H1);215;Fußmattensatz;Innenausstattung;PAL18-1802;4691612;NULL;ASU;442
Elektromotor;6238;VW;GOLF III (1H1);215;Fußmattensatz;Innenausstattung;PAL18-6802;4693521;NULL;ASU;442
Elektromotor;6238;VW;GOLF III (1H1);293;Kennzeichenleuchte;Beleuchtung;L53-210-0007LED;4683173;NULL;ABK;4657
Elektromotor;6238;VW;GOLF III (1H1);397;Ausgleichsbehälter, Kühlmittel;Kühlung;103 006;4675182;NULL;MXG;403
Elektromotor;6238;VW;GOLF III (1H1);424;Filter, Innenraumluft;Heizung/Lüftung;26-0121;4672006;NULL;MXG;403
Elektromotor;6238;VW;GOLF III (1H1);606;Dichtung, Kraftstoffbehälterverschluss;Kraftstoffförderanlage;ZD0206;4663715;NULL;SVC;2429
Elektromotor;6238;VW;GOLF III (1H1);1184;Federaufnahme;Karosserie;046208B;4710501;NULL;BDX;49
Elektromotor;6238;VW;GOLF III (1H1);1368;Handschuhfachschloss;Schließanlage;411 18 191 01 11;4701348;NULL;OES;2728
Elektromotor;6238;VW;GOLF III (1H1);1761;Schalter, Fensterheber;Komfortsysteme;2106132;4697030;NULL;HFF;341
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10003-12B1;4664672;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10007-12B1;4664673;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10008-12B1;4664674;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10009-12B1;4664675;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10010-12B1;4664676;NULL;DEH;89
Elektromotor;6238;VW;GOLF III (1H1);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;PLV10011-12B1;4664677;NULL;DEH;89
Elektromotor;6397;SMART;FORTWO Coupe (451);82;Bremsscheibe;Bremsanlage;DI-M00C;4654057;NULL;JPP;156
Elektromotor;6397;SMART;FORTWO Coupe (451);124;Seilzug, Feststellbremse;Bremsanlage;HK-3081;4354645;NULL;OPT;129
Elektromotor;6397;SMART;FORTWO Coupe (451);194;Faltenbalgsatz, Antriebswelle;Radantrieb;780855;4695053;NULL;GSP;373
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-1653;4691463;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-1654;4691464;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-1661;4691471;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-6653;4693372;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-6654;4693373;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);215;Fußmattensatz;Innenausstattung;PAL18-6661;4693380;NULL;ASU;442
Elektromotor;6397;SMART;FORTWO Coupe (451);219;Gasfeder, Koffer-/Laderaum;Karosserie;8501421;4689416;NULL;KFT;4546
Elektromotor;6397;SMART;FORTWO Coupe (451);286;Lenkgetriebe;Lenkung;173311;4683496;NULL;CEV;393
Elektromotor;6397;SMART;FORTWO Coupe (451);1061;Feder, Schalldämpfer;Abgasanlage;02.39.096;4711832;NULL;TRT;209
Elektromotor;6397;SMART;FORTWO Coupe (451);1186;Sensor, Außentemperatur;Instrumente;02.42.001;4710484;NULL;TRT;209
