EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU045RCJ;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;STARTCRAFT-ENY 54523;NULL;Starterbatterie;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;HEMAN-TJ54610;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;LOEBRO-306800;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;FEBEST-0210-B30;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;HEMAN-TJ54620;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;SPIDAN-36621;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;GSP-641175;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;URW-21-01168;NULL;Gelenksatz, Antriebswelle;NULL;NULL
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Gelenksatz, Antriebswelle;DENCKERMANN-C120266;NULL;Gelenksatz, Antriebswelle;NULL;NULL
