Genart-Nr;Genart-DE;Genart-EN;Subcategory;Std-Desc;AssemblyGroup-DE;AssemblyGroup-EN;IsUniversalGenericArticle;IsDangerousGoods;IsHazardousSubstance
20816;Befestigungssatz, Zierblende;Fastening Set, Wheel Cover;Zier-/Schutzleisten;Befestigungssatz, Zierblende;NULL;NULL;0;0;0
7457;Befestigungsschiene, Heckleuchte;Fastening Rail, rear light;Beleuchtung sonstiges;Befestigungsschiene;Beleuchtung, Universal;Lighting System, universal;1;0;0
7458;Befestigungsschiene/-rohr, Innenraumleuchte;Fastening Rail/Tube, interior light;Beleuchtung sonstiges;Befestigungsschiene/-rohr;Beleuchtung, Universal;Lighting System, universal;1;0;0
9374;Befestigungsschraube, Abzieher;Fastening Screw, puller;Handwerkzeuge;Befestigungsschraube;Werkzeug, Universal;Tool, universal;1;0;0
5876;Befestigungssockel, Kabelbinder;Mounting Base, cable tie;DIN / Normteile sonstiges;Befestigungssockel;Normteile;Standard Parts;1;0;0
9587;Befestigungssockel, Kabelstrang;Mounting Base, wiring harness;DIN / Normteile sonstiges;Befestigungssockel;Normteile;Standard Parts;1;0;0
15291;Befestigungsstrebe;Befestigungsstrebe;Tür;Befestigungsstrebe;Türen;Türen;0;0;0
25966;Befestigungsteile für Hauptbremszylinder;Befestigungsteile für Hauptbremszylinder;Bremsenteile sonstiges;Hauptbremszylinder;NULL;NULL;0;0;0
25975;Befestigungsteile für Hinterachskörper;Befestigungsteile für Hinterachskörper;Zubehör sonstiges;Hinterachskörper;NULL;NULL;0;0;0
25972;Befestigungsteile für Koppel-/Pendelstange;Befestigungsteile für Koppel-/Pendelstange;Lenkungsteile sonstiges;Koppelstange;NULL;NULL;0;0;0
25971;Befestigungsteile für Längslenker;Befestigungsteile für Längslenker;Lenkungsteile sonstiges;Längslenker;NULL;NULL;0;0;0
25967;Befestigungsteile für Lenkgetriebe;Befestigungsteile für Lenkgetriebe;Lenkgetriebe;Lenkgetriebe;NULL;NULL;0;0;0
25964;Befestigungsteile für Massekabel / Masseleitung;Befestigungsteile für Massekabel / Masseleitung;Zubehör sonstiges;Massekabel;NULL;NULL;0;0;0
25970;Befestigungsteile für Motor-/Getriebeaufhängung;Befestigungsteile für Motor-/Getriebeaufhängung;Schaltgetriebe sonstiges;Aufhängung;NULL;NULL;0;0;0
25965;Befestigungsteile für Ölpumpe;Befestigungsteile für Ölpumpe;Zubehör sonstiges;Ölpumpe;NULL;NULL;0;0;0
25974;Befestigungsteile für Querlenker;Befestigungsteile für Querlenker;Querlenkerlager;Querlenker;NULL;NULL;0;0;0
25973;Befestigungsteile für Spurstange;Befestigungsteile für Spurstange;Lenkungsteile sonstiges;Spurstangen/Gelenke;NULL;NULL;0;0;0
25969;Befestigungsteile für Stabilisator;Befestigungsteile für Stabilisator;Fahrwerk sonstiges;Stabilisator;NULL;NULL;0;0;0
25968;Befestigungsteile für Stoßdämpfer;Befestigungsteile für Stoßdämpfer;Stoßdämpfer;Stoßdämpfer;NULL;NULL;0;0;0
25976;Befestigungsteile für Traglenker;Befestigungsteile für Traglenker;Trag-/Führungsgelenk;Traglenker;NULL;NULL;0;0;0
26680;Befestigungsteile, Kabelbaum Automatikgetriebe;Befestigungsteile, Kabelbaum Automatikgetriebe;Automatikgetriebe sonstiges;Kabelbaum;Automatikgetriebe;Automatic Transmission;0;0;0
26676;Befestigungsteile, Mechatronik Automatikgetriebe;Befestigungsteile, Mechatronik Automatikgetriebe;Automatikgetriebe sonstiges;Mechatronik;Automatikgetriebe;Automatic Transmission;0;0;0
26670;Befestigungsteile, Ölpumpe-Automatikgetriebe;Mounting parts, automatic transmission oil pump;Automatikgetriebe sonstiges;Befestigung;Automatikgetriebe;Automatic Transmission;0;0;0
11347;Befestigungsteile-Gruppe;Mounting plate group;Zubehör sonstiges;Befestigungsteile-Gruppe;NULL;NULL;0;0;0
6008;Befestigungstülle;Grommet;DIN / Normteile sonstiges;Befestigungstülle;Normteile;Standard Parts;1;0;0
3160;Befestigungswinkel, Caravanspiegel;Angle Bracket, caravan mirror;Zubehör sonstiges;Befestigungswinkel;Zubehör, Universal;Accessories, universal;1;0;0
8815;Befestigungswinkel, Marderschutz;Fastening Bracket, marten protection;Zubehör sonstiges;Befestigungswinkel;Zubehör, Universal;Accessories, universal;1;0;0
9542;Befülladapter, Druckluftbremsanlage;Filling Adapter, pneumatic brake system;Werkzeuge sonstiges;Adapter;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
9543;Befülladapter, Druckluftbremsanlage;Filling Adapter, pneumatic brake system;Werkzeuge sonstiges;Adapter;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
8449;Befülladapter, Getriebe;Filling Adapter, transmission;Werkstattaus-/einrichtung sonstiges;Adapter;Werkstattausrüstung;Workshop Equipment;1;0;0
6438;Befülladapter-Satz, Getriebe;Filling Adapter Set, transmission;Werkstattaus-/einrichtung sonstiges;Adaptersatz;Werkstattausrüstung;Workshop Equipment;1;0;0
