EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr;ImportVersionNo;Manufacturer:Link;Manufacturer:Link
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;DEPA-3661350;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3164
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;DEPA-3661300;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3164
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;SHAFTEC-NI220L;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3737
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;SHAFTEC-NI220RN;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3737
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;PROTECHNIC-PRA793;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3619
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;SHAFTEC-NI220LN;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3737
Elektromotor;650;NISSAN;LEAF (ZE0);Radantrieb;Antriebswelle;SHAFTEC-NI220R;NULL;Antriebswelle;NULL;NULL;20210401;NULL;3737
Elektromotor;650;NISSAN;LEAF (ZE0);Zylinderkopf;Dichtungssatz, Abgaskrümmer;TURBORAIL-TR303;NULL;Dichtungssatz, Abgaskrümmer;NULL;NULL;20210401;NULL;4419
Elektromotor;650;NISSAN;LEAF (ZE0);Anhängevorrichtung;Anhängevorrichtung;BRINK-545241;NULL;Anhängevorrichtung;NULL;NULL;20210401;NULL;2499
Elektromotor;650;NISSAN;LEAF (ZE0);Anhängevorrichtung;Anhängevorrichtung;RAMEDER-171365;NULL;Anhängevorrichtung;NULL;NULL;20210401;NULL;2268
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RD01614;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RS01614;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RD01253;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RD01615;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;SPILU-58171;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3869
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;SPILU-58172;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3869
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RS01253;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Karosserie;Außenspiegel;EQUALQUALITY-RS01615;NULL;Außenspiegel;NULL;NULL;20210401;NULL;3263
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;OPTIMAL-G2-1310;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;2081
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;GSP-S030830;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;3166
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;555-SR-N340;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;2523
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;555-SR-4741;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;2523
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;WXQP-50228;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;5191
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;OMGSRL-G11.6026;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;5555
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;ETS-18.RE.102;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;4545
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;ETS-18.RE.101;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;4545
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;FORMPART-4107031;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;3992
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;BENDIX-049161B;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;549
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;555-SR-4860;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;2523
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;FEBEST-0222-B17U;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;3863
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;TEBO-501338;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;5192
Elektromotor;650;NISSAN;LEAF (ZE0);Lenkung;Axialgelenk, Spurstange;APLUS-21841AP;NULL;Axialgelenk, Spurstange;NULL;NULL;20210401;NULL;5326
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;FIRSTLINE-FRC151;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;3223
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;QUINTONHAZELL-FC556;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;622
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;FARESA-15374;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;4201
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;CALORSTATBYVERNET-RC0016;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;2489
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;CALORSTATBYVERNET-RC0016;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;2489
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;BORGBECK-BRC151;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;1847
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;MOVELEX-M22744;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;5567
Elektromotor;650;NISSAN;LEAF (ZE0);Kühlung;Verschlussdeckel, Kühlmittelbehälter;CALORSTATBYVERNET-RC0184;NULL;Verschlussdeckel, Kühlmittelbehälter;NULL;NULL;20210401;NULL;2489
Elektromotor;650;NISSAN;LEAF (ZE0);Signalanlage;Blinkleuchte;AETOPLIGHT-711029S;NULL;Blinkleuchte;NULL;NULL;20210401;NULL;5263
Elektromotor;650;NISSAN;LEAF (ZE0);Signalanlage;Blinkleuchte;VALEO-045168;NULL;Blinkleuchte;NULL;NULL;20210401;NULL;521
Elektromotor;650;NISSAN;LEAF (ZE0);Signalanlage;Blinkleuchte;AETOPLIGHT-711029;NULL;Blinkleuchte;NULL;NULL;20210401;NULL;5263
Elektromotor;650;NISSAN;LEAF (ZE0);Signalanlage;Blinkleuchte;VALEO-045169;NULL;Blinkleuchte;NULL;NULL;20210401;NULL;521
Elektromotor;650;NISSAN;LEAF (ZE0);Bremsanlage;Bremsbackensatz;BORGBECK-BBS6403;NULL;Bremsbackensatz;NULL;NULL;20210401;NULL;1847
