LongDesignation;PassengerCarNo
STREETSCOOTER WORK L Pritsche/Fahrgestell Elektro (D16A);136276
STREETSCOOTER WORK Pritsche/Fahrgestell Elektro;132366
STREETSCOOTER WORK Pritsche/Fahrgestell Elektro (B14);132368
STREETSCOOTER WORK Pritsche/Fahrgestell Elektro (B14);132364
STREETSCOOTER WORK Pritsche/Fahrgestell Elektro (B14);116534
STREETSCOOTER WORK Pritsche/Fahrgestell Elektro (B16C, B16);136275
STREETSCOOTER WORK XL Pritsche/Fahrgestell Electric (E17, E18);141739
TAZZARI ZERO Cabriolet Electro;133850
TAZZARI ZERO CITY;133971
TAZZARI ZERO ELECTRIC;33015
TAZZARI ZERO EM1;124748
TAZZARI ZERO EM2 Space;133968
TAZZARI ZERO JUNIOR;133972
TESLA MODEL 3 (5YJ3) EV;129453
TESLA MODEL 3 (5YJ3) EV Allrad;135951
TESLA MODEL 3 (5YJ3) EV Perfomance Allrad;135952
TESLA MODEL S (5YJS) 100D AWD;129905
TESLA MODEL S (5YJS) 100D AWD;131984
TESLA MODEL S (5YJS) 60;111108
TESLA MODEL S (5YJS) 60;120800
TESLA MODEL S (5YJS) 60;123897
TESLA MODEL S (5YJS) 60;106770
TESLA MODEL S (5YJS) 60D AWD;123896
TESLA MODEL S (5YJS) 60D AWD;120799
TESLA MODEL S (5YJS) 60D AWD;108502
TESLA MODEL S (5YJS) 70;117530
TESLA MODEL S (5YJS) 70;118983
TESLA MODEL S (5YJS) 70D AWD;117515
TESLA MODEL S (5YJS) 70D AWD;113073
TESLA MODEL S (5YJS) 75;120531
TESLA MODEL S (5YJS) 75;123898
TESLA MODEL S (5YJS) 75D AWD;120532
TESLA MODEL S (5YJS) 75D AWD;131973
TESLA MODEL S (5YJS) 85;111109
TESLA MODEL S (5YJS) 85;58349
TESLA MODEL S (5YJS) 85;117529
TESLA MODEL S (5YJS) 85D AWD;117518
TESLA MODEL S (5YJS) 85D AWD;113081
TESLA MODEL S (5YJS) 85D AWD;108501
TESLA MODEL S (5YJS) 85D AWD;126198
TESLA MODEL S (5YJS) 85D AWD;131998
TESLA MODEL S (5YJS) 90D AWD;131983
TESLA MODEL S (5YJS) 90D AWD;119786
TESLA MODEL S (5YJS) P100D AWD;122853
TESLA MODEL S (5YJS) P100D AWD;132000
TESLA MODEL S (5YJS) P85;126196
TESLA MODEL S (5YJS) P85;106768
TESLA MODEL S (5YJS) P85D AWD;117352
TESLA MODEL S (5YJS) P85D AWD;126200
TESLA MODEL S (5YJS) P85D AWD;109006
TESLA MODEL S (5YJS) P90D AWD;132003
TESLA MODEL S (5YJS) P90D AWD;119784
TESLA MODEL S (5YJS) P90D AWD;119785
TESLA MODEL X (5YJX) 100D AWD;130950
TESLA MODEL X (5YJX) 60D AWD;130598
TESLA MODEL X (5YJX) 75D AWD;120372
TESLA MODEL X (5YJX) 90D AWD;117531
TESLA MODEL X (5YJX) P100D AWD;122855
TESLA MODEL X (5YJX) P90D AWD;117532
TESLA MODEL Y (5YJY) EV;140979
TESLA MODEL Y (5YJY) EV Allrad;140980
TESLA MODEL Y (5YJY) EV Perfomance Allrad;140981
TESLA ROADSTER (DS) Electric;51906
TESLA ROADSTER (DS) Electric;32131
THINK CITY electric;34903
THINK CITY electric;7042
THINK CITY electric;24178
THINK CITY electric;12152
TOYOTA PROACE Bus (MDZ_) Electric (MDZS, MDZZ);143314
TOYOTA PROACE Kasten (MDZ_) Electric (MDZS, MDZZ);142396
TOYOTA PROACE VERSO Bus (MPY_) Electric (MPYS, MPYZ);143315
VEM COVER Kasten/Kombi Elektro;126095
VEM OPEN Pritsche/Fahrgestell Elektro;126089
VEM PEOPLE Bus Elektro;126100
VEM RIBALTABILE Kipper Elektro;126096
VENTURI AMERICA America;9353
VENTURI ASTROLAB Astrolab;9354
VENTURI FETISH Roadster;9355
VENTURI VOLAGE Volage;9356
VOLVO C30 (533) Electric;121892
VOLVO C30 (533) Electric;58613
VOLVO XC40 (536) Recharge AWD;142465
VW CADDY IV Großraumlimousine (SAB, SAJ) ABT e-Caddy;140892
VW CADDY IV Kasten/Großraumlimousine (SAA, SAH) ABT e-Caddy;140895
VW CRAFTER Kasten (SY_, SX_) e-Crafter;132370
VW GOLF III (1H1) Citystromer;6238
VW GOLF VI (5K1) Blue E-Motion;53583
VW GOLF VII (5G1, BQ1, BE1, BE2) e-Golf;126625
VW GOLF VII (5G1, BQ1, BE1, BE2) e-Golf;101041
VW ID.3 (E11) 1st;143350
VW ID.3 (E11) 1st;141536
VW ID.3 (E11) 1st;141537
VW ID.4 (E21) Performance;142253
VW ID.4 (E21) Performance;142254
VW LOAD UP (121, 122, BL1, BL2) e-Load Up;118761
VW TRANSPORTER / CARAVELLE T6 Bus (SGB, SGG, SGJ, SGC, SHB, SHJ ABT e-Caravelle;140897
VW TRANSPORTER T6 Kasten (SGA, SGH, SHA, SHH) ABT e-Transporter;140896
VW UP! (121, 122, BL1, BL2, BL3, 123) e-Up;100080
VW UP! (121, 122, BL1, BL2, BL3, 123) e-Up;137671
YAMAHA MOTORCYCLES EC-03 EC-03;101774
ZERO MOTORCYCLES ZERO Zero DS;113877
ZERO MOTORCYCLES ZERO Zero DSR ZF13.0 (Z2);119371
ZERO MOTORCYCLES ZERO Zero FX ZF2.8;113885
ZERO MOTORCYCLES ZERO Zero FX ZF5.7;113887
ZERO MOTORCYCLES ZERO Zero FXS ZF3.3 (Z2);119369
ZERO MOTORCYCLES ZERO Zero FXS ZF6.5 (Z2);119370
ZERO MOTORCYCLES ZERO Zero S;113891
ZERO MOTORCYCLES ZERO Zero SR;113892
